<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;180806;000000;201.8;205.2;199.57;203.9;52568260
SBER;D;180807;000000;205.19;207.95;201.55;201.79;60405360
SBER;D;180808;000000;201.53;202.45;191.51;193.2;142013410
SBER;D;180809;000000;189.99;195.9;182.06;195.9;160034960
SBER;D;180810;000000;193.98;196.85;183.01;186.15;113458060
SBER;D;180813;000000;182.16;193.39;180.15;190;106247260
SBER;D;180814;000000;192.98;195.98;188.2;192.76;82639580
SBER;D;180815;000000;192.35;194;186.53;187.98;77677680
SBER;D;180816;000000;189.01;192.28;188.22;191.6;54658510
SBER;D;180817;000000;191.81;192.43;188.59;189.55;45174790
SBER;D;180820;000000;190.98;193.99;190.64;191.2;49215120
SBER;D;180821;000000;192.01;192.34;189.55;191.8;40308740
SBER;D;180822;000000;192.43;193.69;187.56;187.8;66350360
SBER;D;180823;000000;188.4;189.06;178.55;178.71;147543270
SBER;D;180824;000000;178;180.39;172.8;180.39;132957000
SBER;D;180827;000000;181.48;183.83;180.52;183.27;51580770
SBER;D;180828;000000;183.44;184.64;181.22;182;49544520
SBER;D;180829;000000;182.6;183.85;181.31;183.5;39202670
SBER;D;180830;000000;184.61;185.57;177.25;178;66083800
SBER;D;180831;000000;177.6;182;175.61;182;63727210
SBER;D;180903;000000;181.72;182.87;180.15;181.21;31215900
SBER;D;180904;000000;182;182.49;177.71;179.5;56682000
SBER;D;180905;000000;178.5;181.25;178.28;178.46;44378140
SBER;D;180906;000000;177.98;180.18;175;175;49093170
SBER;D;180907;000000;175.47;177.45;173.85;174.9;68384820
SBER;D;180910;000000;175.05;175.97;169.85;171.21;77583280
SBER;D;180911;000000;171.24;172.67;165.9;169.36;93215820
SBER;D;180912;000000;170.23;175.19;169.4;173.9;93403230
SBER;D;180913;000000;174.5;189.04;174.5;183.5;194705800
SBER;D;180914;000000;185;189;182.53;188.71;127770380
SBER;D;180917;000000;190;192.07;186.6;188.11;66793190
SBER;D;180918;000000;188.3;192.69;186.51;191.65;83573220
SBER;D;180919;000000;192.34;193.97;191.47;193.9;60947040
SBER;D;180920;000000;194.31;197.73;191.16;191.16;132774700
SBER;D;180921;000000;191.19;194.68;188.83;193.44;108957030
SBER;D;180924;000000;194.5;199.06;194.29;198.75;75925070
SBER;D;180925;000000;199.7;201;195.06;195.55;89873560
SBER;D;180926;000000;195.54;197.4;193.59;195.79;61921270
SBER;D;180927;000000;195;204.1;194.56;204.1;101237930
SBER;D;180928;000000;204.93;205.67;200.1;203.32;101713950
SBER;D;181001;000000;204.5;205.25;201.71;204.2;54910300
